fy_decision_date,ukri_council,grant_category,reference,organisation
2015-16,AHRC,Research and Innovation Grant,AH/N004671/1,The University of Cambridge
2015-16,AHRC,Research and Innovation Grant,AH/N004671/1,The University of Cambridge
2015-16,AHRC,Research and Innovation Grant,AH/N004671/1,The University of Cambridge
2015-16,AHRC,Research and Innovation Grant,AH/N004671/1,The University of Cambridge
2015-16,AHRC,Research and Innovation Grant,AH/N004671/1,The University of Cambridge
2015-16,AHRC,Research and Innovation Grant,AH/N004671/1,The University of Cambridge
2015-16,AHRC,Research and Innovation Grant,AH/N004671/1,The University of Cambridge
2015-16,AHRC,Research and Innovation Grant,AH/N004671/1,The University of Cambridge
2015-16,AHRC,Research and Innovation Grant,AH/N004671/1,The University of Edinburgh
2015-16,AHRC,Research and Innovation Grant,AH/N004671/1,University of Nottingham
2015-16,AHRC,Research and Innovation Grant,AH/N004701/1,The University of Oxford
2015-16,AHRC,Research and Innovation Grant,AH/N004701/1,Birmingham City University
2015-16,AHRC,Research and Innovation Grant,AH/N004701/1,SOAS University of London
2015-16,AHRC,Research and Innovation Grant,AH/N004701/1,The University of Cambridge
2015-16,AHRC,Research and Innovation Grant,AH/N004701/1,The University of Oxford
2015-16,AHRC,Research and Innovation Grant,AH/N004701/1,The University of Oxford
2015-16,AHRC,Research and Innovation Grant,AH/N004701/1,The University of Oxford
2015-16,AHRC,Research and Innovation Grant,AH/N004701/1,The University of Oxford
2015-16,AHRC,Research and Innovation Grant,AH/N004701/1,The University of Oxford
2015-16,AHRC,Research and Innovation Grant,AH/N004701/1,The University of Reading
2015-16,AHRC,Research and Innovation Grant,AH/N004701/1,University of Pittsburgh
2015-16,AHRC,Research and Innovation Grant,AH/N004736/1,University of Northumbria at Newcastle
2015-16,AHRC,Research and Innovation Grant,AH/N004736/1,RMIT University
2015-16,AHRC,Research and Innovation Grant,AH/N004841/1,University of Durham
2015-16,AHRC,Research and Innovation Grant,AH/N004841/1,The University of Strathclyde
2015-16,AHRC,Fellowship,AH/N005740/1,The University of Kent
2015-16,AHRC,Research and Innovation Grant,AH/N005767/1,Bangor University
2015-16,AHRC,Research and Innovation Grant,AH/N005767/1,"University of the Arts, London"
2015-16,AHRC,Research and Innovation Grant,AH/N005775/1,Guildhall School of Music and Drama
2015-16,AHRC,Research and Innovation Grant,AH/N005775/1,Bucknell University
2015-16,AHRC,Research and Innovation Grant,AH/N005848/1,The University of York
2015-16,AHRC,Research and Innovation Grant,AH/N005848/1,The National Archives
2015-16,AHRC,Fellowship,AH/N005856/1,The University of Oxford
2015-16,AHRC,Research and Innovation Grant,AH/N005864/1,University of Durham
2015-16,AHRC,Research and Innovation Grant,AH/N005929/1,The University of Leeds
2015-16,AHRC,Research and Innovation Grant,AH/N005929/1,University of Twente
2015-16,AHRC,Research and Innovation Grant,AH/N00597X/1,University of Wales Trinity Saint David
2015-16,AHRC,Research and Innovation Grant,AH/N00597X/1,Aberystwyth University
2015-16,AHRC,Research and Innovation Grant,AH/N006011/1,The University of Reading
2015-16,AHRC,Research and Innovation Grant,AH/N006011/1,The University of Reading
2015-16,AHRC,Research and Innovation Grant,AH/N006038/1,The University of Leicester
2015-16,AHRC,Research and Innovation Grant,AH/N006038/1,University of Amsterdam
2015-16,AHRC,Research and Innovation Grant,AH/N006046/1,The University of Exeter
2015-16,AHRC,Research and Innovation Grant,AH/N006046/1,The University of Lancaster
2015-16,AHRC,Research and Innovation Grant,AH/N006062/1,University of Nottingham
2015-16,AHRC,Research and Innovation Grant,AH/N006062/1,The University of Liverpool
2015-16,AHRC,Research and Innovation Grant,AH/N006089/1,The University of Edinburgh
2015-16,AHRC,Research and Innovation Grant,AH/N006119/1,Leeds Beckett University
2015-16,AHRC,Research and Innovation Grant,AH/N006119/1,Leeds Beckett University
2015-16,AHRC,Research and Innovation Grant,AH/N006178/1,University of London (Institutes and activities)
2015-16,AHRC,Research and Innovation Grant,AH/N006178/1,King's College London
2015-16,AHRC,Research and Innovation Grant,AH/N006186/1,The University of St Andrews
2015-16,AHRC,Research and Innovation Grant,AH/N006186/1,Stockholm School of Theology
2015-16,AHRC,Research and Innovation Grant,AH/N006240/1,The University of Kent
2015-16,AHRC,Research and Innovation Grant,AH/N006240/1,University of Gothenburg
2015-16,AHRC,Research and Innovation Grant,AH/N006267/1,The University of Leeds
2015-16,AHRC,Research and Innovation Grant,AH/N006267/1,The University of Leeds
2015-16,AHRC,Research and Innovation Grant,AH/N006305/1,"University of the Arts, London"
2015-16,AHRC,Research and Innovation Grant,AH/N006305/1,The University of Southampton
2015-16,AHRC,Research and Innovation Grant,AH/N006321/1,The Open University
2015-16,AHRC,Research and Innovation Grant,AH/N006321/1,The Open University
2015-16,AHRC,Research and Innovation Grant,AH/N006356/1,University of Nottingham
2015-16,AHRC,Research and Innovation Grant,AH/N006356/1,University College London
2015-16,AHRC,Research and Innovation Grant,AH/N006372/1,University of Nottingham
2015-16,AHRC,Research and Innovation Grant,AH/N006372/1,The University of Edinburgh
2015-16,AHRC,Research and Innovation Grant,AH/N006380/1,Queen Mary University of London
2015-16,AHRC,Research and Innovation Grant,AH/N006380/1,University of Sydney
2015-16,AHRC,Research and Innovation Grant,AH/N006402/1,University of Nottingham
2015-16,AHRC,Research and Innovation Grant,AH/N006402/1,University of Derby
2015-16,AHRC,Research and Innovation Grant,AH/N006445/1,The University of Oxford
2015-16,AHRC,Research and Innovation Grant,AH/N00650X/1,University of Nottingham
2015-16,AHRC,Research and Innovation Grant,AH/N00650X/1,University of Nottingham
2015-16,AHRC,Research and Innovation Grant,AH/N006569/1,University College London
2015-16,AHRC,Research and Innovation Grant,AH/N006569/1,The University of Winchester
2015-16,AHRC,Research and Innovation Grant,AH/N006607/1,Glasgow School of Art
2015-16,AHRC,Research and Innovation Grant,AH/N006607/1,Liverpool School of Tropical Medicine
2015-16,AHRC,Research and Innovation Grant,AH/N006658/1,The University of Birmingham
2015-16,AHRC,Research and Innovation Grant,AH/N006712/1,Ulster University
2015-16,AHRC,Research and Innovation Grant,AH/N006712/1,The University of Southampton
2015-16,AHRC,Research and Innovation Grant,AH/N006720/1,The Open University
2015-16,AHRC,Research and Innovation Grant,AH/N006720/1,The Open University
2015-16,AHRC,Research and Innovation Grant,AH/N006720/1,The Open University
2015-16,AHRC,Research and Innovation Grant,AH/N006720/1,The Open University
2015-16,AHRC,Research and Innovation Grant,AH/N006720/1,The Open University
2015-16,AHRC,Research and Innovation Grant,AH/N006720/1,The University of Glasgow
2015-16,AHRC,Research and Innovation Grant,AH/N006836/1,The University of Birmingham
2015-16,AHRC,Research and Innovation Grant,AH/N006844/1,The University of Lancaster
2015-16,AHRC,Research and Innovation Grant,AH/N006844/1,The Manchester Metropolitan University
2015-16,AHRC,Research and Innovation Grant,AH/N006844/1,The University of Lancaster
2015-16,AHRC,Research and Innovation Grant,AH/N007026/1,The University of East Anglia
2015-16,AHRC,Research and Innovation Grant,AH/N007026/1,University College London
2015-16,AHRC,Research and Innovation Grant,AH/N007085/1,The University of Warwick
2015-16,AHRC,Research and Innovation Grant,AH/N007085/1,Glasgow School of Art
2015-16,AHRC,Research and Innovation Grant,AH/N007085/1,The University of Portsmouth
2015-16,AHRC,Research and Innovation Grant,AH/N007085/1,The University of Warwick
2015-16,AHRC,Research and Innovation Grant,AH/N007107/1,The University of Bristol
2015-16,AHRC,Research and Innovation Grant,AH/N007107/1,The University of Cambridge
2015-16,AHRC,Research and Innovation Grant,AH/N007107/1,The University of Exeter
2015-16,AHRC,Research and Innovation Grant,AH/N00714X/1,The University of Reading
2015-16,AHRC,Research and Innovation Grant,AH/N00714X/1,Royal Holloway and Bedford New College
2015-16,AHRC,Research and Innovation Grant,AH/N00714X/1,The University of Glasgow
2015-16,AHRC,Research and Innovation Grant,AH/N007174/1,The University of Oxford
2015-16,AHRC,Research and Innovation Grant,AH/N007174/1,The University of Glasgow
2015-16,AHRC,Research and Innovation Grant,AH/N007174/1,University of Nottingham
2015-16,AHRC,Research and Innovation Grant,AH/N007182/1,Falmouth University
2015-16,AHRC,Research and Innovation Grant,AH/N007182/1,Brunel University London
2015-16,AHRC,Research and Innovation Grant,AH/N007182/1,The Open University
2015-16,AHRC,Research and Innovation Grant,AH/N007182/1,The University of Glasgow
2015-16,AHRC,Research and Innovation Grant,AH/N007182/1,University College London
2015-16,AHRC,Research and Innovation Grant,AH/N007220/1,Oxford Brookes University
2015-16,AHRC,Research and Innovation Grant,AH/N007220/1,School of Planning & Architecture Delhi
2015-16,AHRC,Research and Innovation Grant,AH/N007328/1,The University of Sheffield
2015-16,AHRC,Research and Innovation Grant,AH/N007328/1,Urban Management Centre
2015-16,AHRC,Research and Innovation Grant,AH/N007387/1,Cardiff University
2015-16,AHRC,Research and Innovation Grant,AH/N007387/1,Cardiff University
2015-16,AHRC,Research and Innovation Grant,AH/N007395/1,The University of Leeds
2015-16,AHRC,Research and Innovation Grant,AH/N007395/1,IISER Mohali
2015-16,AHRC,Research and Innovation Grant,AH/N007395/1,The University of Glasgow
2015-16,AHRC,Research and Innovation Grant,AH/N007395/1,The University of Leeds
2015-16,AHRC,Research and Innovation Grant,AH/N007514/1,The University of Reading
2015-16,AHRC,Research and Innovation Grant,AH/N007514/1,The University of Brighton
2015-16,AHRC,Research and Innovation Grant,AH/N00759X/1,The University of Glasgow
2015-16,AHRC,Research and Innovation Grant,AH/N007697/1,The University of St Andrews
2015-16,AHRC,Research and Innovation Grant,AH/N007816/1,The Royal Central School of Speech and Drama
2015-16,AHRC,Research and Innovation Grant,AH/N00793X/1,Ulster University
2015-16,AHRC,Research and Innovation Grant,AH/N00793X/1,Queen's University Belfast
2015-16,AHRC,Research and Innovation Grant,AH/N007956/1,The University of Birmingham
2015-16,AHRC,Research and Innovation Grant,AH/N007956/1,University of Durham
2015-16,AHRC,Research and Innovation Grant,AH/N008006/1,The University of Bath
2015-16,AHRC,Research and Innovation Grant,AH/N008006/1,Brunel University London
2015-16,AHRC,Research and Innovation Grant,AH/N008006/1,The University of Bath
2015-16,AHRC,Research and Innovation Grant,AH/N008111/1,Middlesex University
2015-16,AHRC,Research and Innovation Grant,AH/N008111/1,Middlesex University
2015-16,AHRC,Research and Innovation Grant,AH/N00812X/1,Brunel University London
2015-16,AHRC,Research and Innovation Grant,AH/N00812X/1,Brunel University London
2015-16,AHRC,Research and Innovation Grant,AH/N00812X/1,Teesside University
2015-16,AHRC,Research and Innovation Grant,AH/N008200/1,Birmingham City University
2015-16,AHRC,Research and Innovation Grant,AH/N008200/1,The University of East London
2015-16,AHRC,Research and Innovation Grant,AH/N008200/1,University of Pisa
2015-16,AHRC,Research and Innovation Grant,AH/N008340/1,The University of East Anglia
2015-16,AHRC,Research and Innovation Grant,AH/N008340/1,The University of East Anglia
2015-16,AHRC,Research and Innovation Grant,AH/N008340/1,The University of East Anglia
2015-16,AHRC,Research and Innovation Grant,AH/N008480/1,Queen Mary University of London
2015-16,AHRC,Research and Innovation Grant,AH/N008588/1,Ulster University
2015-16,AHRC,Research and Innovation Grant,AH/N008588/1,Queen's University Belfast
2015-16,AHRC,Research and Innovation Grant,AH/N008588/1,Queen's University Belfast
2015-16,AHRC,Research and Innovation Grant,AH/N008774/1,The University of Birmingham
2015-16,AHRC,Research and Innovation Grant,AH/N008774/1,University of Nottingham
2015-16,AHRC,Research and Innovation Grant,AH/N008855/1,Queen Mary University of London
2015-16,AHRC,Research and Innovation Grant,AH/N008855/1,Bath Spa University
2015-16,AHRC,Research and Innovation Grant,AH/N008855/1,Cardiff University
2015-16,AHRC,Research and Innovation Grant,AH/N008855/1,Goldsmiths College
2015-16,AHRC,Research and Innovation Grant,AH/N008855/1,Queen Mary University of London
2015-16,AHRC,Research and Innovation Grant,AH/N008855/1,Queen Mary University of London
2015-16,AHRC,Research and Innovation Grant,AH/N008855/1,Queen Mary University of London
2015-16,AHRC,Research and Innovation Grant,AH/N00888X/1,British Library
2015-16,AHRC,Research and Innovation Grant,AH/N00888X/1,British Library
2015-16,AHRC,Research and Innovation Grant,AH/N00888X/1,Jadavpur University
2015-16,AHRC,Research and Innovation Grant,AH/N00888X/1,The University of St Andrews
2015-16,AHRC,Research and Innovation Grant,AH/N008987/1,The University of Aberdeen
2015-16,AHRC,Research and Innovation Grant,AH/N008987/1,University of Durham
2015-16,AHRC,Research and Innovation Grant,AH/N009169/1,Newcastle University
2015-16,AHRC,Research and Innovation Grant,AH/N009169/1,Newcastle University
2015-16,AHRC,Research and Innovation Grant,AH/N009169/1,Newcastle University
2015-16,AHRC,Research and Innovation Grant,AH/N009193/1,The British Museum
2015-16,AHRC,Research and Innovation Grant,AH/N009282/1,The University of Leicester
2015-16,AHRC,Research and Innovation Grant,AH/N009282/1,British University in Egypt
2015-16,AHRC,Research and Innovation Grant,AH/N009312/1,The University of Kent
2015-16,AHRC,Research and Innovation Grant,AH/N009312/1,Middlesex University
2015-16,AHRC,Research and Innovation Grant,AH/N009320/1,The University of Sheffield
2015-16,AHRC,Research and Innovation Grant,AH/N009320/1,The University of Leeds
2015-16,AHRC,Research and Innovation Grant,AH/N009347/1,The University of Wolverhampton
2015-16,AHRC,Research and Innovation Grant,AH/N009371/1,The University of Edinburgh
2015-16,AHRC,Research and Innovation Grant,AH/N009428/1,Birmingham City University
2015-16,AHRC,Research and Innovation Grant,AH/N009428/1,The University of Warwick
2015-16,AHRC,Research and Innovation Grant,AH/N010086/1,Queen's University Belfast
2015-16,AHRC,Research and Innovation Grant,AH/N010086/1,Queen's University Belfast
2015-16,AHRC,Research and Innovation Grant,AH/N504324/1,Bangor University
2015-16,AHRC,Research and Innovation Grant,AH/N504348/1,Courtauld Institute of Art
2015-16,AHRC,Research and Innovation Grant,AH/N50435X/1,Tate
2015-16,AHRC,Research and Innovation Grant,AH/N504361/1,NERC British Geological Survey
2015-16,AHRC,Research and Innovation Grant,AH/N504361/1,NERC British Geological Survey
2015-16,AHRC,Research and Innovation Grant,AH/N504373/1,Birmingham City University
